Timestamp,Q1,Q2,Q3,Q4,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q7.1,Q7.2,Q7.3,Q7.4,Q8.1,Q8.2,Q8.3,Q8.4,Q8.5,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Timestamp,Q1,Q2,Q3,Q4,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q7.1,Q7.2,Q7.3,Q7.4,Q8.1,Q8.2,Q8.3,Q8.4,Q8.5,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5
5.15.2023 8:45:52,1,International Economic Relations,1,3,2,4,2,1,3,4,5,3,4,5,5,4,5,4,3,3,2,1,4,4,4,2,3,3,4,3,2,2,5.15.2023 8:45:52,Bachelor,International Economic Relations,Female,Sometimes,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree
5.15.2023 9:54:15,1,International Economic Relations,1,2,3,3,3,2,3,4,3,3,4,4,2,4,4,4,2,2,2,1,4,4,4,3,3,3,3,2,2,3,5.15.2023 9:54:15,Bachelor,International Economic Relations,Female,Rarely,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral
5.15.2023 15:17:41,1,International Economic Relations,1,2,4,4,4,2,4,4,5,3,4,5,3,4,5,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,5.15.2023 15:17:41,Bachelor,International Economic Relations,Female,Rarely,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
5.15.2023 15:19:02,1,International Economic Relations,1,3,4,4,3,2,4,4,4,4,4,4,3,3,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,5.15.2023 15:19:02,Bachelor,International Economic Relations,Female,Sometimes,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5.15.2023 15:23:54,1,International Economic Relations,2,2,5,4,4,2,4,5,4,4,3,4,2,5,4,3,5,3,2,1,5,4,3,2,1,3,4,3,1,2,5.15.2023 15:23:54,Bachelor,International Economic Relations,Male,Rarely,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Disagree
5.15.2023 15:24:12,1,International Economic Relations,2,3,3,4,4,3,3,5,4,4,3,5,3,5,4,3,4,2,2,4,4,4,4,3,3,4,3,3,4,3,5.15.2023 15:24:12,Bachelor,International Economic Relations,Male,Sometimes,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral
5.15.2023 19:26:12,1,Economics,2,3,3,4,4,3,3,5,5,5,5,5,4,4,5,3,2,2,2,3,3,4,4,3,3,4,3,3,3,2,5.15.2023 19:26:12,Bachelor,Economics,Male,Sometimes,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree
5.16.2023 9:04:40,1,Marketing,1,4,4,2,3,1,3,4,4,3,3,5,3,3,5,4,3,3,3,4,4,4,4,2,3,3,4,3,3,3,5.16.2023 9:04:40,Bachelor,Marketing,Female,蝔ten,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
5.16.2023 9:06:29,1,Marketing,1,2,2,4,4,3,2,3,5,4,3,5,4,4,5,3,5,3,3,5,2,4,5,3,4,4,4,3,4,4,5.16.2023 9:06:29,Bachelor,Marketing,Female,Rarely,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree
5.16.2023 9:07:08,1,Marketing,1,3,4,4,4,3,3,4,4,4,4,5,4,4,4,4,3,4,3,3,4,4,4,4,3,3,3,3,4,3,5.16.2023 9:07:08,Bachelor,Marketing,Female,Sometimes,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral
5.16.2023 9:07:47,1,Marketing,1,2,4,4,4,2,3,3,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,3,3,4,4,3,3,4,5.16.2023 9:07:47,Bachelor,Marketing,Female,Rarely,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree
5.16.2023 9:08:03,1,Marketing,1,2,3,2,3,4,2,5,4,3,5,2,3,1,5,3,1,2,5,4,4,2,3,3,3,3,4,4,3,3,5.16.2023 9:08:03,Bachelor,Marketing,Female,Rarely,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral
5.16.2023 9:08:31,1,Marketing,2,3,3,4,4,2,3,3,3,5,2,4,3,4,4,4,2,3,3,4,4,2,3,2,2,4,3,2,2,4,5.16.2023 9:08:31,Bachelor,Marketing,Male,Sometimes,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree
5.16.2023 9:09:12,1,Marketing,1,3,3,3,4,3,4,5,4,4,3,5,3,4,4,4,4,4,5,4,4,4,4,3,3,3,2,3,3,2,5.16.2023 9:09:12,Bachelor,Marketing,Female,Sometimes,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree
5.16.2023 9:10:35,1,Marketing,1,5,2,2,2,2,3,3,4,4,4,5,5,4,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5.16.2023 9:10:35,Bachelor,Marketing,Female,Very often,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
5.16.2023 9:11:05,1,Marketing,1,2,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,2,2,5.16.2023 9:11:05,Bachelor,Marketing,Female,Rarely,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree
5.16.2023 9:11:20,1,Marketing,1,1,4,4,3,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,3,3,3,3,3,3,3,5.16.2023 9:11:20,Bachelor,Marketing,Female,Never,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5.16.2023 9:11:53,1,Marketing,1,2,3,4,4,2,4,4,4,4,4,5,3,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,5.16.2023 9:11:53,Bachelor,Marketing,Female,Rarely,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
